File Name,Color Index,Red,Green,Blue,Max Proportion
라카_프루티글램틴트_체리.png,1,124,20,23,96.79%
라카_프루티글램틴트_카페인로즈.png,1,79,11,6,100.00%
라카_프루티글램틴트_캔디드.png,1,154,3,12,97.59%
라카_프루티글램틴트_콜드.png,1,218,74,133,100.00%
레미유_듀이플로우틴트_다운로즈.png,1,165,76,75,100.00%
레미유_듀이플로우틴트_뮤트코랄.png,1,172,99,79,77.09%
레미유_듀이플로우틴트_브링러브.png,1,194,48,93,100.00%
레미유_듀이플로우틴트_슈어쉬어.png,1,207,120,148,100.00%
레미유_듀이플로우틴트_츄잇추.png,1,210,60,38,72.06%
레미유_듀이플로우틴트_칠링모브.png,1,139,70,84,100.00%
레미유_듀이플로우틴트_쿠키드롭.png,1,142,34,25,100.00%
레미유_듀이플로우틴트_플레저.png,1,160,38,63,100.00%
레미유_듀이플로우틴트_피치뮬리.png,1,196,96,74,98.63%
레미유_듀이플로우틴트_핑크브리즈.png,1,163,85,92,76.50%
레미유_듀이플로우틴트_허니릿.png,1,230,114,89,100.00%
레미유_모이스트립블러_데이드림.png,1,224,95,106,57.14%
레미유_모이스트립블러_로즐리.png,1,199,77,87,90.43%
레미유_모이스트립블러_멜로우.png,1,233,116,107,81.06%
레미유_모이스트립블러_써니코랄.png,1,222,89,82,98.16%
레미유_모이스트립블러_어도러블.png,1,237,124,129,100.00%
레미유_모이스트립블러_업텐션.png,1,195,41,37,45.15%
레미유_코튼플러피틴트_더스티모브.png,1,126,62,59,91.41%
레미유_코튼플러피틴트_번트브라운.png,1,158,94,77,93.50%
레미유_코튼플러피틴트_빈티지로즈.png,1,170,108,101,65.84%
레미유_코튼플러피틴트_솔티드베이지.png,1,175,112,90,50.95%
레미유_코튼플러피틴트_페이디드레드.png,1,157,81,67,94.52%
롬앤_글래스팅멜팅밤_누가샌드.png,1,171,88,74,100.00%
롬앤_글래스팅멜팅밤_누베이지.png,1,198,131,99,99.90%
롬앤_글래스팅멜팅밤_디어애플.png,1,204,88,85,93.62%
롬앤_글래스팅멜팅밤_러비핑크.png,1,241,75,104,100.00%
롬앤_글래스팅멜팅밤_모브휩.png,1,168,72,84,100.00%
롬앤_글래스팅멜팅밤_버피코랄.png,1,197,119,97,54.68%
롬앤_글래스팅멜팅밤_베일드로즈.png,1,180,98,104,88.07%
롬앤_글래스팅멜팅밤_소르베밤.png,1,217,83,73,100.00%
롬앤_글래스팅멜팅밤_스카치누드.png,1,161,87,73,91.07%
롬앤_글래스팅멜팅밤_카야피그.png,1,186,81,85,100.00%
롬앤_글래스팅멜팅밤_코랄리아.png,1,253,102,82,100.00%
롬앤_글래스팅멜팅밤_코코누드.png,1,222,125,102,99.57%
롬앤_글래스팅멜팅밤_피오니즈.png,1,245,98,136,99.97%
롬앤_글래스팅멜팅밤_피칸브루.png,1,167,69,54,100.00%
롬앤_글래스팅멜팅밤_히피베리.png,1,191,36,55,99.93%
롬앤_글래스팅워터틴트_누디선다운.png,1,208,118,92,100.00%
롬앤_글래스팅워터틴트_레드드롭.png,1,184,28,34,67.44%
롬앤_글래스팅워터틴트_로즈스플래쉬.png,1,173,48,67,100.00%
롬앤_글래스팅워터틴트_모브문.png,1,205,108,131,98.02%
롬앤_글래스팅워터틴트_브릭리버.png,1,184,55,45,100.00%
롬앤_글래스팅워터틴트_빈티지오션.png,1,127,32,24,90.91%
롬앤_글래스팅워터틴트_우디선셋.png,1,116,44,43,75.12%
롬앤_글래스팅워터틴트_피그라이즈.png,1,172,64,73,99.14%
롬앤_글래스팅컬러글로스_그레이피웨이.png,1,176,84,100,71.04%
롬앤_글래스팅컬러글로스_너티베이그.png,1,205,137,119,100.00%
롬앤_글래스팅컬러글로스_디픈무어.png,1,160,95,82,100.00%
롬앤_글래스팅컬러글로스_딤모브.png,1,165,93,91,73.42%
롬앤_글래스팅컬러글로스_로즈핀치.png,1,167,79,84,49.02%
롬앤_글래스팅컬러글로스_스프링피버.png,1,219,55,65,98.48%
롬앤_글래스팅컬러글로스_체리업.png,1,198,41,73,89.75%
롬앤_글래스팅컬러글로스_피오니발레.png,1,243,179,185,90.68%
롬앤_듀이풀워터틴트_라일락크림.png,1,241,117,163,100.00%
롬앤_듀이풀워터틴트_머머핑크.png,1,254,98,150,100.00%
롬앤_듀이풀워터틴트_베리디바인.png,1,117,28,55,100.00%
롬앤_듀이풀워터틴트_솔티피치.png,1,173,72,64,81.55%
롬앤_듀이풀워터틴트_이프로즈.png,1,179,71,70,65.26%
롬앤_듀이풀워터틴트_인코랄.png,1,214,63,78,95.67%
롬앤_듀이풀워터틴트_체리웨이.png,1,192,37,57,99.90%
롬앤_듀이풀워터틴트_칠리업.png,1,128,35,37,78.18%
롬앤_듀이풀워터틴트_캐니언.png,1,187,99,89,100.00%
롬앤_듀이풀워터틴트_커스터드모브.png,1,190,96,104,100.00%
롬앤_듀이풀워터틴트_코튼멜바.png,1,253,112,105,100.00%
롬앤_듀이풀워터틴트_태피.png,1,227,47,97,100.00%
롬앤_듀이풀워터틴트_툴리안.png,1,169,55,85,99.64%
롬앤_블러퍼지틴트_라드우드.png,1,117,63,59,71.56%
롬앤_블러퍼지틴트_로지엔탈.png,1,163,70,69,45.99%
롬앤_블러퍼지틴트_머스키.png,1,137,58,53,79.19%
롬앤_블러퍼지틴트_모비쉬.png,1,157,78,89,58.42%
롬앤_블러퍼지틴트_베리피즈.png,1,242,101,128,98.18%
롬앤_블러퍼지틴트_비비캔디.png,1,214,75,111,90.45%
롬앤_블러퍼지틴트_언로즈.png,1,241,94,104,66.91%
롬앤_블러퍼지틴트_웜밍업.png,1,218,125,104,100.00%
롬앤_블러퍼지틴트_커런트잼.png,1,145,63,71,93.48%
롬앤_블러퍼지틴트_코랄쥬빌레.png,1,238,74,81,98.51%
롬앤_블러퍼지틴트_쿨로즈업.png,1,160,68,80,93.26%
롬앤_블러퍼지틴트_쿨링업.png,1,230,119,132,100.00%
롬앤_블러퍼지틴트_퍼지레드.png,1,235,61,73,94.44%
롬앤_블러퍼지틴트_포멜로코.png,1,193,94,82,62.41%
롬앤_블러퍼지틴트_푸시아바이브.png,1,228,60,82,98.55%
롬앤_제로매트립스틱_대즐레드.png,1,215,59,47,51.37%
롬앤_제로매트립스틱_더스티핑크.png,1,168,78,88,50.68%
롬앤_제로매트립스틱_레드다이브.png,1,147,23,44,98.18%
롬앤_제로매트립스틱_레드서퍼.png,1,196,17,57,82.91%
롬앤_제로매트립스틱_레드카펫.png,1,163,26,44,85.12%
롬앤_제로매트립스틱_레드히트.png,1,188,38,53,97.42%
롬앤_제로매트립스틱_모브빈즈.png,1,172,92,105,61.45%
롬앤_제로매트립스틱_미드나잇.png,1,125,33,44,98.61%
롬앤_제로매트립스틱_비포선셋.png,1,170,64,74,94.61%
롬앤_제로매트립스틱_선라이트.png,1,212,32,68,86.05%
롬앤_제로매트립스틱_쉘누드.png,1,232,137,120,99.70%
롬앤_제로매트립스틱_스모크드베이즈.png,1,179,100,87,88.43%
롬앤_제로매트립스틱_스윗피.png,1,185,50,75,93.59%
롬앤_제로매트립스틱_실루엣.png,1,152,57,55,94.02%
롬앤_제로매트립스틱_썸띵.png,1,219,51,72,92.23%
롬앤_제로매트립스틱_어도러블.png,1,224,89,83,90.71%
롬앤_제로매트립스틱_어썸.png,1,226,91,83,86.08%
롬앤_제로매트립스틱_엔비미.png,1,208,99,98,53.64%
롬앤_제로매트립스틱_올댓재즈.png,1,174,55,46,99.77%
롬앤_제로매트립스틱_이브닝.png,1,156,63,51,100.00%
롬앤_제로매트립스틱_태닝레드.png,1,175,42,48,96.60%
롬앤_제로매트립스틱_핑크샌드.png,1,207,112,118,55.27%
롬앤_제로벨벳틴트_그레인누드.png,1,168,81,66,81.69%
롬앤_제로벨벳틴트_너드핑크.png,1,138,58,69,97.38%
롬앤_제로벨벳틴트_딥소울.png,1,134,52,50,54.61%
롬앤_제로벨벳틴트_러스크러스크.png,1,152,63,49,99.93%
롬앤_제로벨벳틴트_버니누드.png,1,162,75,83,86.64%
롬앤_제로벨벳틴트_번트하트.png,1,138,69,80,99.77%
롬앤_제로벨벳틴트_베리니트.png,1,103,48,47,65.71%
롬앤_제로벨벳틴트_베리케이크.png,1,212,60,74,94.90%
롬앤_제로벨벳틴트_빈티지토프.png,1,131,58,55,81.93%
롬앤_제로벨벳틴트_빌런베스트.png,1,82,22,29,92.50%
롬앤_제로벨벳틴트_아이시.png,1,161,70,88,95.37%
롬앤_제로벨벳틴트_앤셜리.png,1,205,32,41,54.72%
롬앤_제로벨벳틴트_얼그레이숄.png,1,129,57,56,84.78%
롬앤_제로벨벳틴트_위티.png,1,149,63,59,99.77%
롬앤_제로벨벳틴트_조이풀.png,1,191,51,46,82.50%
롬앤_제로벨벳틴트_토스티누드.png,1,161,70,67,98.25%
롬앤_제로벨벳틴트_펄시레드.png,1,142,8,10,92.98%
롬앤_제로벨벳틴트_페이드레드.png,1,136,39,36,42.73%
롬앤_제로벨벳틴트_페탈테슬.png,1,149,75,88,97.82%
롬앤_제로벨벳틴트_피즈.png,1,173,12,39,96.30%
롬앤_제로벨벳틴트_피칸타르트.png,1,146,50,59,90.48%
롬앤_쥬시래스팅틴트_누디피넛.png,1,191,94,86,94.02%
