File Name,color,Color Index,Red,Green,Blue,Max Proportion,HEX,Price,formulation,date,saturation,lightness,tone
데이지크_워터블러틴트_리치피치,,1,218,104,104,65.32%,#da6868,"17,000",워터블러,127,52,63,strong
데이지크_워터블러틴트_베리베리,,1,192,79,120,100.00%,#c04f78,"17,000",워터블러,127,59,53,strong
데이지크_워터블러틴트_베리에이드,,1,235,85,148,98.71%,#eb5594,"17,000",워터블러,127,64,63,strong
데이지크_워터블러틴트_스위모브,,1,172,79,96,98.01%,#ac4f60,"17,000",워터블러,127,54,49,strong
데이지크_워터블러틴트_저스트피치,,1,225,116,100,100.00%,#e17464,"17,000",워터블러,127,56,64,strong
데이지크_워터블러틴트_칠링,,1,172,46,83,100.00%,#ac2e53,"17,000",워터블러,127,73,43,deep
데이지크_워터블러틴트_피치듀,,1,239,140,120,100.00%,#ef8c78,"17,000",워터블러,127,50,70,bright
데이지크_워터블러틴트_피치에이드,,1,195,103,102,60.95%,#c36766,"17,000",워터블러,127,48,58,soft
데이지크_쥬시듀이틴트_러브코랄,,1,239,123,108,100.00%,#ef7b6c,"17,000",글로시,88,55,68,bright
데이지크_쥬시듀이틴트_로즈애플,,1,214,67,82,100.00%,#d64352,"17,000",글로시,88,69,55,strong
데이지크_쥬시듀이틴트_멜론샤벳,,1,245,97,99,94.65%,#f56163,"17,000",글로시,88,60,67,bright
데이지크_쥬시듀이틴트_모브무드,,1,203,103,108,83.80%,#cb676c,"17,000",글로시,88,49,60,soft
데이지크_쥬시듀이틴트_모브베리,,1,233,70,99,100.00%,#e94663,"17,000",글로시,88,70,59,strong
데이지크_쥬시듀이틴트_무드망고,,1,246,134,115,100.00%,#f68673,"17,000",글로시,88,53,71,bright
데이지크_쥬시듀이틴트_베리슈,,1,232,123,156,100.00%,#e87b9c,"17,000",글로시,88,47,70,soft
데이지크_쥬시듀이틴트_베어누드,,1,195,97,82,94.08%,#c36152,"17,000",글로시,88,58,54,strong
데이지크_쥬시듀이틴트_스위티핑크,,1,223,94,115,96.46%,#df5e73,"17,000",글로시,88,58,62,strong
데이지크_쥬시듀이틴트_스윗마롱,,1,237,113,108,100.00%,#ed716c,"17,000",글로시,88,54,68,bright
데이지크_쥬시듀이틴트_오렌지콕,,1,250,112,89,98.68%,#fa7059,"17,000",글로시,88,64,66,bright
데이지크_쥬시듀이틴트_체리소다,,1,233,65,90,100.00%,#e9415a,"17,000",글로시,88,72,58,strong
데이지크_쥬시듀이틴트_칠리셔벗,,1,231,88,79,88.46%,#e7584f,"17,000",글로시,88,66,61,strong
데이지크_쥬시듀이틴트_코랄피즈,,1,249,100,96,100.00%,#f96460,"17,000",글로시,88,61,68,bright
데이지크_쥬시듀이틴트_파파야밀크,,1,240,134,129,100.00%,#f08681,"17,000",글로시,88,46,72,soft
데이지크_쥬시듀이틴트_플럼듀,,1,222,25,80,84.26%,#de1950,"17,000",글로시,88,89,48,vivid
데이지크_쥬시듀이틴트_피그베리,,1,236,94,105,82.48%,#ec5e69,"17,000",글로시,88,60,65,bright
데이지크_쥬시듀이틴트_피그플럼,,1,194,91,122,100.00%,#c25b7a,"17,000",글로시,88,53,56,strong
데이지크_쥬시듀이틴트_피치크러쉬,,1,250,75,90,99.90%,#fa4b5a,"17,000",글로시,88,70,64,strong
데이지크_쥬시듀이틴트_피치푸딩,,1,238,123,128,100.00%,#ee7b80,"17,000",글로시,88,48,71,soft
데이지크_쥬시듀이틴트_핑크구아바,,1,248,86,123,94.18%,#f8567b,"17,000",글로시,88,65,65,bright
데이지크_크림드버터틴트_모브크림,,1,215,120,125,100.00%,#d7787d,"17,000",매트,108,44,66,soft
데이지크_크림드버터틴트_솔티드버터,,1,208,110,104,96.58%,#d06e68,"17,000",매트,108,50,61,strong
데이지크_크림드버터틴트_카라멜브릭,,1,179,86,73,76.74%,#b35649,"17,000",매트,108,59,49,strong
데이지크_크림드버터틴트_코튼플럼,,1,192,88,99,100.00%,#c05863,"17,000",매트,108,54,55,strong
데이지크_프루티립잼_감귤잼,,1,217,89,79,75.60%,#d9594f,"17,000",글로시,85,64,58,strong
데이지크_프루티립잼_딸기잼,,1,235,105,137,89.33%,#eb6989,"17,000",글로시,85,55,67,bright
데이지크_프루티립잼_라즈베리잼,,1,236,113,129,100.00%,#ec7181,"17,000",글로시,85,52,68,bright
데이지크_프루티립잼_리치잼,,1,175,94,105,64.12%,#af5e69,"17,000",글로시,85,46,53,dull
데이지크_프루티립잼_무화과잼,,1,198,91,99,100.00%,#c65b63,"17,000",글로시,85,54,57,strong
데이지크_프루티립잼_복숭아잼,,1,240,158,156,75.50%,#f09e9c,"17,000",글로시,85,35,78,light
데이지크_프루티립잼_애프리콧잼,,1,240,159,135,99.84%,#f09f87,"17,000",글로시,85,44,74,soft
데이지크_프루티립잼_애플잼,,1,218,55,69,99.98%,#da3745,"17,000",글로시,85,75,54,vivid
데이지크_프루티립잼_자두잼,,1,232,77,123,94.68%,#e84d7b,"17,000",글로시,85,67,61,strong
데이지크_프루티립잼_쥬쥬브잼,,1,172,102,99,100.00%,#ac6663,"17,000",글로시,85,42,53,dull
데이지크_프루티립잼_체리잼,,1,233,75,97,100.00%,#e94b61,"17,000",글로시,85,68,60,strong
데이지크_프루티립잼_캐슈넛잼,,1,179,119,104,95.54%,#b37768,"17,000",글로시,85,42,55,soft
데이지크_프루티립잼_크랜베리잼,,1,132,66,65,65.62%,#844241,"17,000",글로시,85,51,39,deep
딘토_블러글로이립틴트_그라티아,,1,208,85,88,100.00%,#d05558,"20,000",글로시,11,59,57,strong
딘토_블러글로이립틴트_노빌리타스,,1,234,159,153,100.00%,#ea9f99,"20,000",글로시,11,35,76,light
딘토_블러글로이립틴트_데오볼렌테,,1,126,52,79,100.00%,#7e344f,"20,000",글로시,11,59,35,deep
딘토_블러글로이립틴트_디비니타스,,1,177,77,89,100.00%,#b14d59,"20,000",글로시,11,56,50,strong
딘토_블러글로이립틴트_레베렌티아,,1,215,103,99,100.00%,#d76763,"20,000",글로시,11,54,62,strong
딘토_블러글로이립틴트_리베르타스,,1,177,115,104,100.00%,#b17368,"20,000",글로시,11,41,55,soft
딘토_블러글로이립틴트_메멘토모리,,1,147,51,53,100.00%,#933335,"20,000",글로시,11,65,39,deep
딘토_블러글로이립틴트_모데스티아,,1,152,102,101,100.00%,#986665,"20,000",글로시,11,34,50,dull
딘토_블러글로이립틴트_무니아,,1,189,76,94,100.00%,#bd4c5e,"20,000",글로시,11,60,52,strong
딘토_블러글로이립틴트_베누스,,1,241,151,140,100.00%,#f1978c,"20,000",글로시,11,42,75,light
딘토_블러글로이립틴트_베니아,,1,183,107,120,100.00%,#b76b78,"20,000",글로시,11,42,57,soft
딘토_블러글로이립틴트_보눔,,1,202,0,60,100.00%,#ca003c,"20,000",글로시,11,100,40,vivid
