File Name,Color Index,Red,Green,Blue,Max Proportion,HEX,PCCS
레미유_모이스트립블러_업텐션.png,1,195,41,37,45.15%,#c32925,
레미유_코튼플러피틴트_더스티모브.png,1,126,62,59,91.41%,#7e3e3b,
레미유_코튼플러피틴트_번트브라운.png,1,158,94,77,93.50%,#9e5e4d,
레미유_코튼플러피틴트_빈티지로즈.png,1,170,108,101,65.84%,#aa6c65,PB
레미유_코튼플러피틴트_솔티드베이지.png,1,175,112,90,50.95%,#af705a,
레미유_코튼플러피틴트_페이디드레드.png,1,157,81,67,94.52%,#9d5143,
롬앤_글래스팅멜팅밤_누가샌드.png,1,171,88,74,100.00%,#ab584a,
롬앤_글래스팅멜팅밤_누베이지.png,1,198,131,99,99.90%,#c68363,RPB
롬앤_글래스팅멜팅밤_디어애플.png,1,204,88,85,93.62%,#cc5855,
롬앤_글래스팅멜팅밤_러비핑크.png,1,241,75,104,100.00%,#f14b68,R
롬앤_글래스팅멜팅밤_모브휩.png,1,168,72,84,100.00%,#a84854,
롬앤_글래스팅멜팅밤_버피코랄.png,1,197,119,97,54.68%,#c57761,RPB
롬앤_글래스팅멜팅밤_베일드로즈.png,1,180,98,104,88.07%,#b46268,PB
롬앤_글래스팅멜팅밤_소르베밤.png,1,217,83,73,100.00%,#d95349,
롬앤_글래스팅멜팅밤_스카치누드.png,1,161,87,73,91.07%,#a15749,
롬앤_글래스팅멜팅밤_카야피그.png,1,186,81,85,100.00%,#ba5155,
롬앤_글래스팅멜팅밤_코랄리아.png,1,253,102,82,100.00%,#fd6652,
롬앤_글래스팅멜팅밤_코코누드.png,1,222,125,102,99.57%,#de7d66,RPB
롬앤_글래스팅멜팅밤_피오니즈.png,1,245,98,136,99.97%,#f56288,
롬앤_글래스팅멜팅밤_피칸브루.png,1,167,69,54,100.00%,#a74536,
롬앤_글래스팅멜팅밤_히피베리.png,1,191,36,55,99.93%,#bf2437,
롬앤_글래스팅워터틴트_누디선다운.png,1,208,118,92,100.00%,#d0765c,
롬앤_글래스팅워터틴트_레드드롭.png,1,184,28,34,67.44%,#b81c22,
롬앤_글래스팅워터틴트_로즈스플래쉬.png,1,173,48,67,100.00%,#ad3043,
롬앤_글래스팅워터틴트_모브문.png,1,205,108,131,98.02%,#cd6c83,RPB
롬앤_글래스팅워터틴트_브릭리버.png,1,184,55,45,100.00%,#b8372d,
롬앤_글래스팅워터틴트_빈티지오션.png,1,127,32,24,90.91%,#7f2018,
롬앤_글래스팅워터틴트_우디선셋.png,1,116,44,43,75.12%,#742c2b,
롬앤_글래스팅워터틴트_피그라이즈.png,1,172,64,73,99.14%,#ac4049,
롬앤_글래스팅컬러글로스_그레이피웨이.png,1,176,84,100,71.04%,#b05464,PB
롬앤_글래스팅컬러글로스_너티베이그.png,1,205,137,119,100.00%,#cd8977,RPB
